"V2","Length"
"YBX1",1930
"PDE4A",6646
"PPP2R5A",3825
"CTNNA2",7535
"ELAVL1",7063
"TIE1",6694
"DIP2B",10361
"SMARCD1",5136
"KDM4A",5172
"NFYC",6068
"ZMYND12",2195
"SLC9A3",2783
"NGEF",4678
"ASPM",10938
"CD84",9255
"ELOVL1",2507
"SPI1",2069
"ZNRD1",3672
"MPPED2",8197
"CLDN18",3880
"ZBTB11",7416
"ATXN3",28202
"GOLGA5",3295
"FGFR2",7486
"LRRC40",2884
"ISOC1",1940
"EML1",8899
"TRMT11",2690
"THUMPD1",5092
"MSANTD3",3253
"KIF26A",6756
"ATG2B",14778
"ARFGEF1",10964
"ACSM2B",8158
"ZFAT",8900
"MTFR1",4629
"STAG3",8583
"FECH",4473
"MYO9A",20253
"DDX3Y",5738
"PFKP",4836
"IDI1",3589
"SP100",12618
"KLF6",6139
"PLPP1",2016
"NEO1",8117
"TRAM1",3878
"PHKA1",6350
"TNFRSF1A",4005
"CACNB1",7094
"EVI5",8276
"STOML1",10461
"PKM",8571
"DHX29",4734
"DNTTIP2",7519
"METTL22",8254
"TP53BP1",12991
"TRO",6716
"RRP15",7883
"RHOA",2582
"DHX8",9302
"PRKCZ",7636
"ZFY",5527
"IARS2",4165
"SYT1",6494
"NAV3",11153
"IDH3G",2717
"ROGDI",3683
"PDZD4",4341
"ATP2B3",7534
"ROCK1",11113
"CBFB",4129
"PDK3",2695
"HYAL2",4545
"HDAC4",13368
"RASSF1",3683
"FGFR3",4834
"IFI35",1973
"HEATR6",4868
"COASY",4032
"PLEKHH3",4803
"MEF2A",6925
"OTUD5",3592
"TFE3",4283
"TBC1D25",4223
"ACSL4",6415
"INPP5A",3706
"GPKOW",1742
"GRIPAP1",6841
"FTSJ1",2872
"PRR11",4080
"REEP1",5193
"ATP11A",13733
"POLR1A",13519
"LAPTM4A",1946
"TTC7A",6949
"IP6K2",5624
"STON1-GTF2A1L",4294
"SRBD1",5045
"KIF2A",4774
"RASGRP2",6084
"PSME4",10241
"IFT80",7175
"SIRT2",6224
"ERLEC1",2592
"PPP2R5B",3376
"PYGM",4981
"PAGE1",665
"PITX1",3511
"TRPC7",3185
"MAST4",14675
"ADGRF5",6650
"SDK2",11607
"ADAM7",4483
"NUP133",6080
"NUCKS1",6546
"VPS35",9733
"DNAJA2",5065
"BCL3",3242
"KCNAB2",9534
"ABCC9",11421
"GAL",1300
"CLEC2D",6957
"FUNDC1",1399
"MAOB",2891
"RORA",17040
"DRD4",1477
"TGFBR3",8705
"KIAA1107",4556
"PLA2G10",1116
"HES2",5407
"ATP1B3",2584
"NEDD4",9097
"PIGB",4542
"MAPK6",6388
"GNB5",13302
"RAB27A",5605
"CECR5",4936
"UFD1L",8736
"LRP6",10337
"GUCY2C",4177
"SCT",366
"PHRF1",5769
"IKBKAP",6048
"NUCB2",8995
"PFN2",3440
"PTPN3",9995
"SPTB",14772
"DAPP1",4548
"FGF10",3011
"SLC44A1",12172
"TMEM260",8077
"SMG6",10554
"EXOC5",12575
"CLTCL1",10049
"FGF22",2778
"FSTL3",3067
"DGCR2",5636
"RNF126",3496
"MNT",8728
"ZXDC",7357
"JMJD6",5969
"POLB",4106
"ST6GALNAC1",3448
"WIPI1",3402
"FRMPD1",5867
"GBA2",4803
"NDST1",9529
"ASNS",4455
"AP3M2",6276
"CNGB1",7298
"ST6GALNAC2",7558
"CHAT",2994
"PABPC1",4752
"TESK2",3322
"CFAP20",2375
"CSNK2A2",6905
"PTPN21",7396
"EIF2B3",3411
"CAMK2A",6150
"TCOF1",11278
"CDC42",3598
"OSBPL3",8100
"EPHA8",5358
"SLC12A3",6180
"RAD18",6983
"ATP2B1",9493
"TRPM5",3962
"NCK2",2990
"MAP4K4",11961
"MGAT4A",9630
"RPL31",5791
"WDR1",7827
"SNX13",16418
"MS4A12",1839
"ARHGAP10",10759
"RPS6KA2",8243
"ING3",5214
"VASH1",6502
"LMCD1",9130
"WBSCR22",7944
"SEL1L",9559
"TRIP13",3560
"ATP6AP1",4884
"TCF3",6080
"TRIB2",4588
"DAZAP1",9201
"MBD3",7845
"PRLH",264
"HLTF",6024
"FAM50A",2567
"FAM3A",5098
"CPSF1",6072
"MYO3B",8236
"CYBRD1",5176
"CDH19",6864
"PDCD2",6476
"SLC6A15",8781
"RDH11",5518
"PRKACA",6144
"ADGRL1",8487
"SPP2",1265
"ACTN1",10626
"ZFYVE26",15706
"RPS6KA6",8502
"EPN2",8517
"PTPN18",5774
"LIMS2",8489
"ASIC4",5250
"SPEG",17910
"LNX1",5725
"ALDH3A2",6457
"TFRC",7887
"SREBF1",8030
"TRPC5",5839
"AFF4",11297
"UBE2D1",3486
"MPP5",8743
"RHOBTB1",4841
"SMC1A",10484
"HSD17B10",1115
"MARK2",6154
"HMMR",3936
"CHFR",17127
"TRHDE",11950
"P4HA2",8502
"FCGR2B",6651
"NFATC3",8806
"TRNT1",5518
"ACADVL",4865
"STK10",9083
"FBXW11",5577
"ACAP1",7421
"CRMP1",5823
"EVC",7148
"DERL2",6386
"SIDT1",8060
"NDE1",5525
"MRVI1",7700
"TMEM38A",3005
"AP1M1",14371
"PVR",3519
"XRCC1",3459
"SCARB1",7741
"CYP2W1",2773
"MCM2",4902
"MOV10L1",6872
"PANX2",3102
"SELO",2363
"TP63",7454
"ALPK1",12325
"LLGL2",7909
"PDE8A",7886
"CLCN4",6789
"NLE1",5463
"SDHA",8383
"SMARCE1",11022
"FNDC8",1388
"GSDMB",5905
"KDM5A",12106
"ADAM11",4770
"PPP2R3A",7837
"FERMT2",8510
"ABCB11",5151
"DHRS9",3750
"CD5L",2456
"PTGS2",5269
"IGF2BP2",4735
"MAP3K13",12623
"ST6GAL1",9151
"TBX21",2614
"FRY",18452
"PICALM",5833
"NSF",5005
"GLI2",7406
"CLASP1",11052
"MRPS34",1097
"NOTCH3",9394
"CLNS1A",4592
"PPP2R2C",9198
"TEAD2",2980
"EED",7016
"CDHR2",5348
"SNCB",2006
"TSG101",3839
"NCBP3",14718
"ATP2A3",6893
"CA12",7313
"MGLL",10102
"NTN4",4166
"BCS1L",3379
"NUAK1",7008
"DPP8",10211
"SLC24A1",9084
"ZNF532",11951
"SCARF1",4961
"LMAN1",6767
"HACD3",7097
"IPCEF1",8474
"ZZEF1",15878
"NOX3",2042
"ENO1",3958
"SLC12A1",12476
"MYDGF",1678
"ANO8",4979
"TUBE1",6973
"ARHGEF10L",7817
"TXK",3472
"WSCD2",6557
"KCNQ2",11355
"TACR2",2871
"ACTR6",3813
"TIPIN",2755
"SRI",4237
"EIF4G3",9596
"NUP37",3492
"SEMA3A",9371
"GTSE1",4242
"SEMA3C",6268
"TTC38",3578
"ACAT1",5584
"GRAMD4",4885
"CELSR1",12806
"WNT8B",2112
"ZNF638",12474
"SLC25A40",5081
"TIMM21",5208
"ADD2",12673
"FGF4",3233
"RASAL2",16044
"VPS9D1",3428
"ZNF37A",9626
"MARK3",8891
"SLC25A3",8896
"FNDC3B",13270
"FOSL2",7157
"CACNG5",1311
"CACNG4",3380
"FRYL",18152
"TMEM131",12985
"FSCN1",3692
"ACTB",3256
"MOCOS",6281
"PLD1",12859
"ATP12A",4442
"WDR62",9775
"DLG1",11001
"RAB7A",2717
"BCAP29",8409
"SEC31B",7938
"SART3",7271
"ARHGAP15",7743
"TUBA3D",1598
"PAX2",6243
"EXOSC7",4442
"KIFAP3",4978
"MKRN2",2848
"MCM6",4118
"REXO2",3699
"RBM7",7885
"RBMS2",8805
"BAZ2A",10918
"PTPN23",5981
"MLH1",3532
"UNG",2567
"FMO4",2517
"KLHL20",4254
"RGS11",4798
"SLC46A1",7838
"PLXNA2",13781
"SPAG5",5472
"ANKRD13A",7350
"TPD52",8197
"ACACB",14505
"TRAF4",4596
"PAG1",11023
"GPATCH1",4488
"ICAM3",2950
"NT5C2",5156
"MCAM",7422
"GPC4",4960
"MBNL3",12199
"CAMSAP3",4845
"RAP1GAP",5755
"XAB2",4673
"ARHGEF1",8636
"STXBP2",6040
"MAP2K7",5145
"NMRK2",1141
"DGKD",9771
"CTTNBP2",7035
"ACTL6B",2389
"RARB",3697
"TOP2B",6044
"TM9SF3",7095
"NFKB2",4484
"UBE2T",1065
"PPP1R12B",21069
"DNAJC10",21826
"GTF3C1",11562
"IL4R",5894
"USP33",6918
"PAK3",10312
"CAPN6",3568
"DCX",10138
"SNRPA",2361
"SPAG6",3887
"EXOSC5",1488
"DYNC1I2",4695
"APBB1IP",3981
"LRCH4",6838
"FAM76B",6042
"SIRT6",2787
"TYR",3016
"POLD3",5508
"ACTN2",5530
"CAPZB",3238
"GPR137B",2309
"NAALAD2",7254
"JADE1",9129
"SLC25A43",3115
"UBE2A",5276
"FGFR1",12698
"FKBP6",2469
"SMC1B",4253
"FBLN1",7285
"ITGA8",7528
"CST7",930
"MAP2",11559
"PIAS2",17527
"AMPH",5636
"ARAF",3535
"MCCC1",4321
"LAMP3",3816
"FAP",7003
"NEBL",13654
"ACER3",8442
"UBE2K",5245
"PIK3C3",15182
"N4BP2",9835
"TIGAR",4017
"TULP3",3181
"SYNJ2",9921
"ADCY2",17538
"PPP2R5C",14289
