"Gene.name","Length"
"Gm25196",109
"Gm26402",112
"Gm26250",65
"Gm26425",81
"Mir744",99
"Gm24687",240
"Gm24462",105
"Gm47311",137
"Gm23176",129
"n-R5s54",111
"Gm28001",116
"Gm22935",103
"Gm26165",137
"n-R5s164",111
"Gm27604",71
"AC126035.1",2743
"Gm26006",80
"Nars",16892
"Gm26255",102
"Mir463",74
"Gm26328",106
"Gm27284",69
"Mir6383",115
"n-R5s43",109
"Gm23085",292
"Gm23272",128
"Mir3067",83
"Gm25633",106
"Tmem225",2758
"Gm25991",98
"Gm24554",72
"Gm27517",235
"Gm21679",27873
"Hnrnpul2",14741
"Aldh3b1",16268
"Gm24341",124
"Gm22686",99
"Gm26420",102
"Gm22951",106
"BC023105",1230
"Mir6928",69
"Hspa12a",65233
"Gm27618",59
"Gm23662",110
"Gm23105",133
"Gm24803",106
"AC234645.1",1082
"Gm24130",150
"Gm23121",172
"Mir707",72
"Gm22598",126
"Gm22348",78
"Prss29",4027
"Gm25036",49
"Mir6903",87
"Gm23552",73
"Spata24",5496
"Nron",369
"n-R5s3",111
"Gm24127",129
"Gm24520",109
"Gm22684",131
"Gm22257",300
"Gm22332",125
"Ccdc178",360499
"Ppp1r3c",4916
"Gm2564",1995
"Mir7661",60
"Gm23023",108
"n-R5s9",116
"Gm22008",94
"Tm9sf3",53162
"Gm25416",106
"Gm26254",117
"Cdc25c",18536
"Gm27718",85
"Gm22183",72
"Gm25106",133
"Gm25146",78
"Rpl27a-ps2",449
"Rab18",25026
"n-R5s73",106
"Gm44358",97
"Gm26499",78
"Mir468",77
"Gm24405",166
"Btbd35f8",1496
"Mir710",109
"Gm23926",89
"Gm24218",104
"Mir7666",54
"Gm25210",93
"Snord64",66
"Gm25245",106
"Gm26038",105
"Mir1961",111
"Gm22071",82
"Ndfip1",45424
"Gm24468",103
"Gm44482",102
"Cep55",19400
"Gm23492",114
"Gm22533",273
"Ss18",58716
"Gm24767",94
"Gm25627",152
"Mir7j",121
"Gm24154",129
"n-R5s85",112
"Gm23168",142
"Pold4",1732
"Gm9887",623
"Gm26172",133
"DQ267102",71
"Gm23205",102
"Gm44376",127
"Mir409",78
"n-R5s48",109
"Gm24652",78
"Gm25894",74
"3110018I06Rik",1004
"Gm44339",83
"Mir467a-5",82
"Gm22384",103
"Gm24230",128
"Gm23412",106
"Gm24438",114
"Gm22307",106
"Gm24636",287
"Pgp",1118
"n-R5s16",118
"Gm23971",190
"Gm17482",31951
"Gm24952",78
"Mir7236",59
"Gm24379",85
"Rnf151",2218
"Gm24380",323
"Gm22897",127
"Gm5819",464
"Gm25475",179
"Gm340",4166
"Gm24026",97
"Gm27684",79
"Snord110",67
"Umodl1",56029
"Gm24498",101
"Gm21732",1082
"Gm27395",459
"Gm25672",106
"Gm17430",473
"Mir6347",100
"Snora43",126
"Gm10813",93
"Gm26318",95
"Gm24487",62
"Cypt14",685
"Gm22200",66
"Btbd35f26",1496
"Mir1231",80
"Mir147",78
"Gm24589",93
"Gm21788",542
"Mir7650",58
"Gm24278",126
"Slc4a9",13136
"Gm26026",122
"Eif1a",12521
"Gm24002",103
"Spinkl",8715
"Mir450b",81
"Tpsb2",1544
"n-R5s82",108
"Gm21028",122
"Scarna9",69
"Gm26061",107
"Mir3112",81
"Gm25334",109
"Gm26727",365
"Gm25346",127
"Ndufs8",3847
"Gm16367",3085
"Gm23990",116
"Gm2348",299
"Mir882",76
"Gm11115",76
"Gm25083",91
"Mxi1",65304
"Gm26491",120
"Gm25496",119
"Gm10309",7500
"Gm22583",106
"Gm24797",106
"AC133095.1",2733
"Stk32a",109784
"Psma8",56148
"Epg5",96560
"Gm27522",229
"Gm23233",136
"Vps37a",39351
"Gm22786",121
"Mir154",65
"Mir5136",75
"Mir883a",75
"Gm27834",124
"Gm22948",242
"Gm24524",169
"Gm24465",106
"n-R5s12",118
"Macrod1",141293
"Arhgef37",42742
"Gm24784",61
"Gm23206",183
"Gm27450",89
"Gm23020",252
"Gm24763",189
"Gm10577",398
"Gm24464",106
"Gm26149",107
"Gm26504",93
"Gm23806",108
"Gm24824",77
"Gm22632",78
"Gm24611",106
"Snora2b",136
"Gm26008",98
"n-R5s58",118
"Gm23147",109
"Gm24382",106
"Gm22452",103
"Gm23688",78
"Gm23586",122
"Mir872",80
"Gm24219",78
"Gm47288",139
"Gm22486",136
"Gm27627",149
"Kif20a",8641
"Gm22659",129
"Gm24641",106
"Gm22901",83
"Gm44338",109
"Mir6769b",59
"Gm47299",79
"Gm17662",1808
"Gm27647",117
"Gm27306",106
"Gm26086",262
"Mir7031",64
"Gm25354",104
"Commd10",129130
"Mir135b",96
"Gm22341",128
"Spin2f",1487
"Gm23404",96
"Rn7sk",330
"Gm25971",285
"Gm23225",113
"Gm23175",131
"Gm26028",293
"Mir24-2",106
"Prr16",186743
"Gm26140",109
"Gm21886",665
"Gm23887",171
"Gm25942",109
"Gm26189",106
"Ftmt",1450
"Ttc27",145820
"Gm27861",213
"Gm24022",59
"Gm22982",318
"Rom1",1974
"6030452D12Rik",6820
"Zakit",307
"Mir3078",86
"Adrb2",2142
"Gm23960",130
"Gm22473",131
"Gm22388",247
"Gm24259",106
"Glp1r",34643
"Gm24121",105
"AC140325.1",1307
"Gm10849",621
"Mir7653",60
"Mir6994",72
"Gm23471",78
"Ccdc112",29777
"Gm25657",94
"Gm6457",814
"Mir381",74
"Snord2",68
"Gm24417",78
"Gm23879",125
"Zfp608",102135
"Snord92",84
"Gm10840",308
"Gm23812",83
"Mir335",97
"Mir761",75
"Mir1957b",122
"Gm22603",95
"Mir1668",106
"Gm22619",109
"Mir690",108
"Mir9-1",88
"Gm6970",665
"Haao",15434
"Mir7667",62
"Gm26151",59
"Zc3h11a",41509
"Gm26437",104
"Gm22553",294
"Gm9788",905
"Gm22572",104
"Osbp",28261
"Mir3089",83
"Gm25248",97
"Mir7222",74
"Gm25343",106
"Gm23830",101
"Gm25258",106
"Mir7054",61
"Gm27332",111
"Gm27694",85
"Gm23822",127
"Mir3474",57
"Gm24680",125
"Mir8092",86
"Gm22122",199
"Gm22579",132
"Gm24042",102
"n-R5s45",109
"Mir669d",120
"Gm23718",306
"Gm23439",131
"Gm22654",104
"Gm24861",106
"Gm24039",131
"Gm27701",109
"Mir3473g",135
"Mir7068",73
"Gm24403",129
"Gm25596",106
"Gm24868",135
"Gm23963",76
"n-R5s161",113
"Mir666",98
"Mir3082",63
"Gm24480",102
"Gm28002",99
"n-R5s18",120
"Gm24721",109
"Gm25318",313
"Prss34",1767
"Gm22259",106
"Mir7033",80
"Gm24001",84
"Gm26467",77
"Gm22418",106
"Gm22652",130
"Mir8097",118
"Snord67",110
"Gm25438",109
"Gm25792",99
"Gm23248",107
"Gm25845",309
"Gm24951",108
"Mir6985",60
"Mir465b-1",78
"Gm26397",133
"Gm23551",120
"Gm24632",322
"Mir6982",67
"Gm3893",1080
"Mir599",87
"Gm25965",92
"Gm25349",109
"Cox7a2l",12414
"Gm23610",106
"Gm22532",139
"Cep120",62823
"Slc22a28",69773
"Mir3068",135
"Gm26039",143
"Snora78",127
"Gm23314",106
"Gm25710",78
"Gm23443",127
"Prelid3a",15732
"Gm44348",121
"n-R5s103",118
"Mir875",77
"Cyp26c1",7817
"Gm22629",78
"Mir223",109
"Gm23849",190
"Gm27286",178
"Gm24709",131
"Gm22534",103
"Gm26128",109
"Gm22725",109
"Snord82",69
"Gm25432",65
"Trpm3",850765
"Gm27553",73
"Gm25395",271
"Gm24759",78
"Gm25219",329
"Mir6963",70
"Gm22064",65
"Gm24049",99
"Gm23902",133
"Pias2",90500
"Gm25761",127
"Mir676",88
"Gm26177",106
"Fth1",2389
"Mir9-3",89
"Gm23669",127
"Rtn3",57388
"Tmem95",1334
"Mir6912",69
"Lhcgr",50427
"Gm23341",96
"Mir1896",80
"Gm23644",76
"Gm22816",116
"Gm23754",62
"Gm22085",109
"Gm23517",191
"Gm26432",78
"Gm23335",89
"Mir344d-2",79
"Gm27605",135
"9130213A22Rik",2535
"Gm27857",125
"Rbfa",8393
"n-R5s124",118
"n-R5s24",116
"Mir1957a",65
"Gm44356",110
"Gm24256",83
"Gm21882",1082
"Gm21767",542
"Gm25384",104
"Gm24710",100
"Slc37a1",55213
"Mir7242",78
"Fabp5l2",407
"Scarna17",78
"Gm23813",76
"Gm23473",115
"Gm22196",108
"Mir181b-2",88
"Gm26566",1037
"Mir467h",120
"Gm24252",131
"Gm24840",146
"Gm25286",104
"Gm24288",143
"Gm24992",129
"Gm22216",113
"Gm17332",86
"Gm28017",125
"Gm23364",72
"Gm24446",155
"Gm25460",126
"Gm24850",118
"Srsx",1082
"Gm9985",511
"Mir6902",63
"Gm23313",93
"Gm27975",100
"Gm22983",103
"Mir7024",61
"Gm24568",91
"n-R5s42",103
"Gm25779",94
"Gm25628",104
"Gm24981",131
"Gm26275",267
"Fshr",215442
"Gm25123",120
"Gm22311",109
"Gm22245",102
"Gm25732",59
"Gm25776",142
"Gm23141",93
"Gm23575",78
"Kcng3",45938
"Mir6344",103
"Gm24295",130
"Gm25765",131
"Gm24942",113
"Gm23377",137
"n-R5s108",118
"Gm25413",311
"Gm25391",133
"Gm26162",131
"Gm26498",78
"Mir195b",96
"Mir7047",63
"Gm24971",109
"Gm25587",165
"Gm25541",125
"Gm25833",132
"Mir7091",78
"Mir673",90
"Gm26178",106
"Gm24359",220
"Gm24043",115
"Gm22500",98
"Gm23056",110
"Cd248",2559
"Gm22877",104
"Gm22022",126
"Mir6946",68
"Gm22499",134
"Gm22699",104
"Gm23668",110
"Gm22968",117
"Mir302a",68
"Mir487b",81
"Gm23681",125
"Snord73a",67
"Gm22992",120
"Mir466q",75
"Mir6349",96
"Gm25328",106
"Gm24878",103
"Mir3060",82
"Gm17542",4604
"Gm10945",21132
"Gm23468",107
"Mir3100",64
"Gm23328",131
"n-R5s150",107
"Ccl21c",1130
"Gm22092",106
"Mir129-2",89
"Gm25069",85
"Gm23943",120
"Gm24165",127
"Gm24627",137
"Gm22651",93
"Mir694",69
"Gm23513",132
"Gm24994",120
"Gm26089",106
"Btbd35f5",1949
"Gm24518",93
"Gm24587",88
"Ccl19",1600
"Gm23560",78
"Gm22478",153
"Gm27579",62
"Mir8111",136
"Zfp516",94435
"Gm23654",125
"Gm25717",352
"Gm24113",275
"Gm44499",85
"Gm10557",753
"Gm25618",106
"Gm22296",102
"Gm26012",127
"Gm24666",166
"Gm26363",82
"AC114990.3",610
"Gm2531",512
"Gm22139",104
"Gm24908",126
"Mir216c",68
"Gm25280",100
"Gm23317",128
"Mir455",81
"Gm27289",81
"n-R5s69",118
"Ltbp3",17628
"Gm26081",131
"Gm23609",126
"Gm24350",132
"Gm23014",129
"F830016B08Rik",9636
"Gm24771",136
"Gm25363",244
"Gm22554",146
"Gfer",2965
"Gm25803",130
"Gm22634",163
"n-R5s95",117
"Gm22018",130
"Gm27295",152
"Gm27833",123
"Gm44468",104
"Gm22732",120
"n-R5s178",113
"Gm22991",120
"Gm23897",157
"Gm24595",109
"Gm17606",7341
"Gm25186",107
"Sall3",20202
"n-R5s2",118
"B4gat1",2308
"Gm10040",4940
"Gm22899",130
"Slc3a1",35896
"Gm22863",93
"Mir195a",93
"Gm22288",106
"Mir6353",112
"Gm10663",2447
"Gm9959",391
"Mir6335",97
"Mir7215",50
"Gm25682",163
"Gm22315",142
"Gm27926",65
"Gm22798",106
"Gm22768",152
"Mir7046",65
"Mir3088",73
"Gm25220",94
"9030612E09Rik",1858
"Gm25890",164
"Gm24142",106
"Gm25723",125
"Gm24580",130
"Gm23702",129
"Gm22385",100
"Fosl1",8242
"Mir133a-2",103
"Gm25063",93
"Gm27540",186
"Gm25100",100
"AF357341",74
"Gm26168",111
"Mir7657",56
"Mir290b",57
"Mir8104",100
"Gm24099",106
"Mir8103",106
"Gm26036",143
"Mir296",78
"Vamp7",28410
"Gm23316",113
"Tmem217",23560
"Gm23881",65
"Mir7674",62
"Gm25170",128
"Gm27704",106
"Gm25158",120
"Gm17364",174
"Sipa1",12522
"Gm10563",30995
"Gm23876",66
"Gm27941",141
"Gm26354",128
"U2af1",11672
"Gm24191",121
"Gm23455",99
"Lrrc10b",2076
"Gm44408",65
"Gm17450",426
"Gm27397",106
"Gm25728",158
"Gm22801",83
"Mir466l",120
"Cwf19l1",27232
"Mir6943",65
"Gm22750",102
"Bloc1s2",7180
"Gm23192",95
"Gm22360",106
"Gm25045",98
"Gm22308",106
"Mir1946b",132
"Gm27849",124
"Gm25860",125
"Adra2a",3800
"Gm24169",109
"Gm23752",114
"Mir669a-8",86
"Gm26411",106
"Gm44361",93
"n-TSaga9",106
"Thumpd2",38758
"Gm22838",98
"Lpxn",35201
"Rnu3a",213
"Gm22528",103
"Nanos1",3926
"Gm25095",130
"Mir365-2",111
"Gm27315",153
"Gm22576",103
"Gm22784",131
"Mir758",80
"n-R5s36",118
"Gm24576",247
"CR974586.4",1080
"Gm24774",133
"Gm23860",131
"Gm17545",7772
"Gm22751",108
"Gm24228",128
"n-R5s144",118
"Gm25058",127
"Gm20721",16393
"Gm24695",82
"Gm25238",88
"Noc2l",11606
"Gm24164",103
"Gm23261",135
"Gm44392",114
"Gm22073",188
"Gm10188",719
"Gm21876",1214
"Snord34",69
"n-R5s104",118
"AC087559.2",1034
"Klf9",25685
"Mir7049",59
"Tmx3",33113
"Jcad",47939
"AC133103.7",371
"Gm26158",118
"Gm23939",132
"Gm21775",539
"Mir6989",64
"Gm22993",253
"Gm25669",111
"Gm25892",120
"Gm24448",106
"Gm24129",96
"Gm22357",82
"Gm22036",214
"Gm26657",1307
"Gm26277",151
"A730015C16Rik",1220
"Gm22121",53
"Ch25h",1349
"Gm23908",131
"Stub1",2725
"Mir5114",60
"Mir7680",53
"Fads2",37339
"Gm28011",174
"Gm17657",509
"Gm24909",279
"Gm10268",554
"Gm22698",107
"Catsper1",8412
"Hrh4",15892
"Gm4479",170
"Gm10184",1938
"Gm25068",109
"Mir7090",61
"Gm24646",98
"n-R5s26",121
"Gm9812",969
"Gm10097",2783
"Gm10750",1505
"Gm27587",162
"Nutf2-ps1",863
"Mir6240",116
"Gm22555",61
"Gm27953",142
"Gm9987",568
"Mirlet7f-2",82
"Gm22057",106
"Vmn1r216",1058
"Gm26239",106
"Gm21836",62
"Gm21863",335
"Snora15",130
"Gm10644",22876
"Gm10128",3077
"Gm25423",106
"Gm47301",59
"Gm23977",73
"Gm27731",106
"Gm23086",90
"Gm47295",78
"Gm10434",474
"Mir7663",60
"Mir873a",76
"Gm23880",53
"Gm26054",106
"Gm17604",1064
"Gm26107",106
"Gm10197",200
"Gm23429",148
"Gm10794",208
"Gm25052",157
"Gm22780",131
"Gm22152",124
"Mir132",65
"Snord22",125
"Gm25333",245
"Gm23298",106
"Mir3084-2",68
"Mir1927",108
"Plac8l1",18034
"Rps12-ps3",493
"Gm27597",79
"Gm25651",118
"Slc35g1",9627
"Reep5",28526
"Crim1",176344
"Gm24062",265
"Gm25577",106
"n-R5s39",107
"Gm23850",168
"AC102264.1",902
"Mir138-2",70
"Gm23569",119
"Gm23334",123
"Gm22849",306
"Gm10337",164
"Gm25141",106
"n-R5s8",117
"Gm26307",125
"Mir6409",91
"Mir6954",59
"Gm25129",132
"Gm21828",542
"Gm22783",106
"Gm26244",163
"A730071L15Rik",1614
"Gm22189",85
"Gm24306",78
"Gm22999",87
"Gm5705",710
"Scarna2",413
"Gm25267",62
"Gm17402",9702
"Gm27940",97
"Gm28023",59
"Gm44298",85
"Dock8",202903
"Gm23267",131
"Gm44359",137
"Gm24719",109
"Gm24608",135
"Gm44484",137
"Gm17376",87
"C530025M09Rik",689
"Mir382",75
"Minpp1",29601
"Gm25610",128
"Gm27505",109
"Gm22704",136
"Pdcd11",40377
"Gm27595",111
"Gm25121",78
"Gm26079",132
"Gm23217",106
"Gm22669",317
"Gm22513",163
"Dmrt2",6590
"n-R5s122",118
"Mir216a",71
"Gm24639",78
"Mir152",72
"Gm25300",83
"Gm24461",102
"Gm24229",117
"Gm10392",2538
"Gm22503",114
"Gm25339",231
"Gm27494",188
"Neurl1a",80620
"Gm27457",155
"Gm26176",104
"Mir6403",128
"Gm25904",142
"Ovol1",11438
"Snora9",132
"Gm25701",126
"Gm25284",140
"n-R5s111",118
"Gm23993",143
"Gm24334",127
"Gm10401",606
"Mir466b-6",89
"Gm24674",103
"Gm23626",132
"Gm25617",132
"Gm22575",109
"Gm26021",130
"Gm22416",87
"Gm6304",446
"Gm24557",88
"Gm5514",305
"Gm25425",95
"Gm26085",115
"Gm22627",78
"Mir6974",82
"Gm25294",103
"Gm23027",157
"Mir5710",68
"Gm26361",185
"AC132444.6",1499
"Gm26468",105
"Rnu5g",115
"Mir338",97
"Gm23132",131
"Gm23365",124
"Gm24476",130
"Gm25608",131
"Mir7041",51
"Gm10181",68
"Trpd52l3",2230
"Mir7665",62
"Mir134",70
"Gm27803",118
"Mir297a-4",97
"Gm21596",1315
"Gm22540",116
"Mir432",74
"Gm25972",100
"Wnt8a",5960
"Mir669a-11",86
"Caskin1",20122
"Gm23296",106
"Gm25038",129
"Gm27525",106
"Gm25611",132
"Gm27465",90
"Gm22294",103
"Gm27820",174
"Gm26342",128
"Gm25004",160
"Mir6537",109
"Mir681",109
"Gm23648",106
"Mir6402",79
"Gm24855",96
"Gm24284",141
"Gm23918",105
"Gm23530",136
"Gm24581",132
"Gm23867",273
"Gm27796",260
"Gm10428",398
"Gm22381",106
"Gm25184",162
"Mir3071",79
"Gm27784",112
"Gm28006",121
"Gm22428",131
"Gm25480",132
"Gm25500",122
"Mir8101",110
"Rrp12",33301
"Mir3098",86
"Gm17577",467
"Lcor",79601
"Gm25199",103
"Gm24532",285
"Mir1224",84
"Mir412",79
"Mir874",75
"Gm24634",106
"Gm23613",86
"Gm22794",305
"Mir128-1",69
"Gm27640",146
"Gm27826",254
"Gm22059",103
"Mir467f",119
"Gm47291",64
"Mir7075",81
"Mir686",108
"Gm26455",91
"Gm24760",93
"Gm24210",132
"Mir6966",71
"Gm22482",358
"Gm25211",106
"Gm17584",497
"Mir367",74
"Gm26303",118
"Gm24879",142
"Gm23339",138
"Gm23892",129
"Gm23583",288
"9430097D07Rik",1500
"Gm24303",125
"AF357428",68
"Gm24327",77
"Gm24889",131
"Gm22312",129
"Mir1906-1",79
"Hars",16675
"Gm23923",132
"Gm24217",132
"Mir6993",64
"Gm24507",133
"Gm25773",126
"Mir1a-1",76
"Mir3470a",76
"Mir500",91
"Gm10518",1300
"Gm25481",157
"Gm22578",106
"n-R5s100",118
"Gm22600",268
"Gm26408",126
"Gm24085",115
"Gm21962",1016
"Mir503",70
"Gm22426",95
"Mir1199",118
"Mir7669",57
"Mir6241",102
"Gm22833",131
"Gm23061",115
"Gm24877",115
"Mir678",83
"Gm25362",104
"Mir7034",83
"Gm24433",132
"Gm21783",683
"Gm22003",106
"Snord116l9",93
"Gm25979",137
"Gm24574",73
"Gm24231",132
"Mir7051",72
"Gm25235",106
"Gm25640",124
"Gm24755",109
"Gm24817",104
"Gm47278",90
"Gm23584",128
"Gm25070",101
"Gm22655",95
"Gm23858",105
"Vma21-ps",305
"Mir191",73
"Gm23811",83
"Gm22138",127
"Gm25281",103
"n-R5s166",120
"Mir292b",61
"Gm24178",95
"Gm25311",131
"Rprl1",326
"Gm27717",150
"Gm25065",131
"Gm23615",64
"Gm27854",243
"Mir1967",81
"Gm24536",106
"Gm25171",120
"Gm23498",86
"Gm25958",70
"Gm27532",112
"Mir1938",99
"Gm24322",69
"Gm26497",106
"Mir6388",74
"Gm24925",106
"Mir145a",69
"Mir6382",109
"Gm23216",106
"Gm25970",85
"Mir7227",58
"Gm23042",100
"Gm23936",109
"Gm23421",103
"Gm25088",78
"n-R5s134",118
"Mir6908",62
"Gm26418",136
"Scarna6",264
"Mir3076",59
"Gm25440",153
"Gm24010",281
"Mir1948",84
"Mir6378",106
"Gm25136",114
"Gm22129",106
"Gm22105",115
"Gm24731",130
"Gm22272",133
"Gm24451",132
"Gm23268",77
"Gm22769",97
"Gm24342",103
"Gm25906",125
"Snord37",63
"Gm47292",95
"Gm26287",80
"Gm24584",106
"Mir20a",106
"Mir6339",116
"Gm23255",109
"Gm6665",551
"Gm26306",118
"Gm24862",78
"Mir6389",101
"Gm22454",106
"Gm23983",113
"Gm47281",59
"Gm25178",324
"Gm27409",79
"Gm27330",131
"n-R5s14",106
"Gm24383",332
"Mir5615-1",59
"Gm24325",73
"n-R5s202",113
"Gm23570",103
"Gm24091",82
"Gm22313",128
"Gm25810",107
"Gm23152",115
"Gm25104",162
"Gm25847",95
"Gm23332",274
"CAAA01205117.1",99
"Mir670",99
"Gm25051",248
"Gm26166",106
"Mir7k",109
"Gm24175",128
"Mir6969",60
"Mir7086",64
"Gm23553",294
"Gm23245",134
"Gm26406",123
"Gm22133",108
"Gm26393",128
"Gm25914",152
"Gm24701",104
"Gm24737",99
"Snord60",77
"Gm24338",126
"Gm22943",75
"Mir22",94
"Gm26013",118
"Dele1",12380
"Mir1899",95
"Snord7",96
"n-R5s129",118
"Gm22721",82
"Gm26113",78
"Mir30d",81
"Gm24801",104
"Gm24260",106
"Gm26015",124
"Gm24870",106
"Gm27762",108
"Mir429",82
"Gm23173",159
"Gm27995",99
"Gm24105",77
"Gm25084",100
"Gm24651",106
"Gm22797",130
"Gm22435",127
"Gm23616",109
"Gm24332",101
"Grxcr2",12848
"Snord45c",79
"Mir7223",68
"Gm22029",120
"Vis1",200
"Gm22690",109
"Gm24841",356
"Gm21773",1082
"Gm23516",106
"Gm23969",73
"Gm26264",158
"Gm24117",132
"Gm24685",284
"Gm25805",107
"Gm22923",109
"Armh3",180344
"n-R5s105",118
"Gykl1",1989
"Gm27320",108
"Gm6807",887
"Gldc",76969
"Mir3107",89
"Gm26438",106
"Gm23633",118
"Gm25953",82
"Gm22673",130
"Gm44492",140
"Flrt1",13715
"Snord116l6",93
"Gm26389",78
"Gm26372",235
"Gm27299",102
"Gm26002",106
"Gm25078",106
"Eif3s6-ps2",218
"Gm22624",107
"Gm24545",84
"Mlana",10527
"Gm23946",196
"Gm22515",304
"Ppic",11666
"Gm21954",10225
"Gm23196",106
"Mir327",68
"Gm23527",129
"Gm9386",380
"Gm24745",84
"Gm23546",136
"Gm24492",106
"Gm23280",138
"Gng3",2317
"Snora47",137
"Gm22135",107
"Gm25996",116
"Mir6924",62
"Gm23538",100
"Npy6r",7573
"Gm26477",322
"Gm23093",101
"Gm27867",124
"Gm16485",3982
"Gm26289",130
"Gm25383",143
"Gm44466",137
"Gm25436",144
"Gm23855",134
"Gm23050",164
"Gm22240",81
"Rnu3b2",215
"Gm44453",125
"Gm27838",127
"Mir883b",77
"Gm25514",134
"Gm25332",104
"Gm22421",106
"Gm22326",350
"Mir3967",67
"Gm22613",291
"Carnmt1",34008
"Gm10322",335
"Msln",5713
"Gm23113",98
"Mir217",107
"Gm22803",282
"Mir6944",95
"Gm22448",106
"Gm25407",133
"Gm24153",93
"Gm23634",90
"Gm24070",129
"Fbxl16",12159
"Gm23875",317
"Gm25827",106
"Pnlip",11421
"Gm23590",103
"Mir100",79
"Snord116l4",93
"Gm22474",106
"Mir551b",97
"Mir466e",83
"Gm22913",100
"Gm27688",90
"Gm47289",2508
"Gm24466",108
"Gm44480",85
"Mir362",64
"Gm25154",118
"Gm25684",106
"Gm26197",114
"Gm25150",59
"Gm25087",77
"Gm23713",69
"Gm25585",78
